State,City,percent_completed_hs,poverty_rate,Median Income,Lat,Lng,cityarea,city_name,city_type,county
AL,Abanda CDP (Test Country),21.2,78.8,11207,33.098839,-85.527824,Abanda CDP,Abanda,CDP,Test
AL,Abbeville city,69.1,29.1,25615,31.571835200000002,-85.2504893,Abbeville city,Abbeville,city,
AL,Adamsville city,78.9,25.5,42575,33.600938899999996,-86.9561059,Adamsville city,Adamsville,city,
AL,Addison town,81.4,30.7,37083,34.202324299999994,-87.1814012,Addison town,Addison,town,
AL,Akron town,68.6,42,21667,32.8765165,-87.7425105,Akron town,Akron,town,
AL,Alabaster city,89.3,11.2,71816,33.244281300000004,-86.8163773,Alabaster city,Alabaster,city,
AL,Albertville city,72.7,26.7,32911,34.267593700000006,-86.20886690000002,Albertville city,Albertville,city,
AL,Alexander City city,78.1,30.4,29874,32.944012,-85.9538532,Alexander City city,Alexander City,city,
AL,Alexandria CDP,88.8,9.7,56058,33.7739892,-85.88552299999999,Alexandria CDP,Alexandria,CDP,
AL,Aliceville city,74.3,41.3,21131,33.12956810000001,-88.15141659999999,Aliceville city,Aliceville,city,
AL,Allgood town,48.1,27.7,42009,33.9120429,-86.50943149999999,Allgood town,Allgood,town,
AL,Altoona town,66.9,27.5,27566,34.026208200000006,-86.3260923,Altoona town,Altoona,town,
AL,Andalusia city,81.1,24.5,31968,31.308503899999998,-86.48329129999999,Andalusia city,Andalusia,city,
AL,Anderson town,85.7,13.8,34792,34.9284179,-87.266407,Anderson town,Anderson,town,
AL,Anniston city,79.8,31.7,29681,33.659825700000006,-85.8316318,Anniston city,Anniston,city,
AL,Arab city,87.6,16.7,40292,34.318149700000006,-86.49582190000001,Arab city,Arab,city,
AL,Ardmore town,77.7,19.1,35670,34.9840722,-86.8396032,Ardmore town,Ardmore,town,
AL,Argo town,87.5,8.6,57212,33.6884778,-86.5021814,Argo town,Argo,town,
AL,Ariton town,71.3,37.6,24286,31.600165500000003,-85.7188298,Ariton town,Ariton,town,
AL,Arley town,80.6,31.6,28750,34.0789929,-87.2122325,Arley town,Arley,town,
AL,Ashford town,83.5,18.8,42704,31.182956199999996,-85.23632099999999,Ashford town,Ashford,town,
AL,Ashland town,77.9,22.4,31438,33.2737256,-85.83607409999999,Ashland town,Ashland,town,
AL,Ashville city,77.6,28.3,40547,33.8370433,-86.2544223,Ashville city,Ashville,city,
AL,Athens city,83.4,13,47542,34.8028661,-86.97167409999999,Athens city,Athens,city,
AL,Atmore city,73.7,24.7,26775,31.0237921,-87.4938708,Atmore city,Atmore,city,
AL,Attalla city,76,20.3,37191,34.021763899999996,-86.08858520000001,Attalla city,Attalla,city,
AL,Auburn city,94.3,31.8,38342,32.6098566,-85.48078249999999,Auburn city,Auburn,city,
AL,Autaugaville town,71.2,24.1,24833,32.434024900000004,-86.6547019,Autaugaville town,Autaugaville,town,
AL,Avon town,82.8,22.2,40417,31.189344399999996,-85.2860436,Avon town,Avon,town,
AL,Axis CDP,79.9,6.8,55750,30.929792600000003,-88.0272647,Axis CDP,Axis,CDP,
AL,Babbie town,81.2,15.7,41912,31.279613899999998,-86.3255085,Babbie town,Babbie,town,
